mahalleler
1;;;AKÖREN;;ADANA -> ALADAĞ -> ALADAĞ-İLÇE MERKEZİ;;
2;;;AKPINAR;;ADANA -> ALADAĞ -> ALADAĞ-İLÇE MERKEZİ;;
3;;;BAŞPINAR;;ADANA -> ALADAĞ -> ALADAĞ-İLÇE MERKEZİ;;
4;;;BOZTAHTA;;ADANA -> ALADAĞ -> ALADAĞ-İLÇE MERKEZİ;;
5;;;BÜYÜKSOFULU;;ADANA -> ALADAĞ -> ALADAĞ-İLÇE MERKEZİ;;
6;;;CERİTLER;;ADANA -> ALADAĞ -> ALADAĞ-İLÇE MERKEZİ;;
7;;;DARILIK;;ADANA -> ALADAĞ -> ALADAĞ-İLÇE MERKEZİ;;
8;;;DAYILAR;;ADANA -> ALADAĞ -> ALADAĞ-İLÇE MERKEZİ;;
9;;;DÖLEKLİ;;ADANA -> ALADAĞ -> ALADAĞ-İLÇE MERKEZİ;;
10;;;EBRİŞİM;;ADANA -> ALADAĞ -> ALADAĞ-İLÇE MERKEZİ;;
11;;;EĞNER;;ADANA -> ALADAĞ -> ALADAĞ-İLÇE MERKEZİ;;
12;;;GERDİBİ;;ADANA -> ALADAĞ -> ALADAĞ-İLÇE MERKEZİ;;
13;;;GİREĞİYENİKÖY;;ADANA -> ALADAĞ -> ALADAĞ-İLÇE MERKEZİ;;
14;;;GÖKÇE;;ADANA -> ALADAĞ -> ALADAĞ-İLÇE MERKEZİ;;
15;;;KABASAKAL;;ADANA -> ALADAĞ -> ALADAĞ-İLÇE MERKEZİ;;
16;;;KARAHAN;;ADANA -> ALADAĞ -> ALADAĞ-İLÇE MERKEZİ;;
17;;;KICAK;;ADANA -> ALADAĞ -> ALADAĞ-İLÇE MERKEZİ;;
18;;;KIŞLAK;;ADANA -> ALADAĞ -> ALADAĞ-İLÇE MERKEZİ;;
19;;;KIZILDAM;;ADANA -> ALADAĞ -> ALADAĞ-İLÇE MERKEZİ;;
20;;;KÖKEZ;;ADANA -> ALADAĞ -> ALADAĞ-İLÇE MERKEZİ;;
21;;;KÖPRÜCÜK;;ADANA -> ALADAĞ -> ALADAĞ-İLÇE MERKEZİ;;
22;;;KÜP;;ADANA -> ALADAĞ -> ALADAĞ-İLÇE MERKEZİ;;
23;;;MADENLİ;;ADANA -> ALADAĞ -> ALADAĞ-İLÇE MERKEZİ;;
24;;;MANSURLU;;ADANA -> ALADAĞ -> ALADAĞ-İLÇE MERKEZİ;;
25;;;MAZILIK;;ADANA -> ALADAĞ -> ALADAĞ-İLÇE MERKEZİ;;
26;;;POSYAĞBASAN;;ADANA -> ALADAĞ -> ALADAĞ-İLÇE MERKEZİ;;
27;;;SİNANPAŞA;;ADANA -> ALADAĞ -> ALADAĞ-İLÇE MERKEZİ;;
28;;;TOPALLI;;ADANA -> ALADAĞ -> ALADAĞ-İLÇE MERKEZİ;;
29;;;UZUNKUYU;;ADANA -> ALADAĞ -> ALADAĞ-İLÇE MERKEZİ;;
30;;;YETİMLİ;;ADANA -> ALADAĞ -> ALADAĞ-İLÇE MERKEZİ;;
31;;;YÜKSEKÖREN;;ADANA -> ALADAĞ -> ALADAĞ-İLÇE MERKEZİ;;
32;;;ZÜBEYDE HANIM;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
33;;;YILANKALE;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
34;;;YEŞİLDAM;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
35;;;ÜÇDUTYEŞİLOVA;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
36;;;ULUS;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
37;;;VEYSİYE ;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
38;;;YALAK;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
39;;;YARSUAT;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
40;;;YELLİBEL;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
41;;;YEŞİLBAHÇE;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
42;;;TOKTAMIŞ;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
43;;;TATARLI;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
44;;;TATLIKUYU;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
45;;;TUMLU;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
46;;;ŞAHİN ÖZBİLEN;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
47;;;ŞEHİT HACI İBRAHİM;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
48;;;SİRKELİ;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
49;;;SOĞUKPINAR;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
50;;;SOYSALLI;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
51;;;SARIMAZI;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
52;;;SARISAKAL;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
53;;;SELİMİYE;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
54;;;SAĞIRLAR;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
55;;;SAĞKAYA;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
56;;;SARIBAHÇE;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
57;;;MERCİN;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
58;;;MERCİMEK;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
59;;;MİTHATPAŞA;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
60;;;MODERNEVLER;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
61;;;MURADİYE;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
62;;;MUSTAFABEYLİ;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
63;;;NAMIK KEMAL;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
64;;;NARLIK;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
65;;;NAZIMBEY YENİKÖY;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
66;;;KÜÇÜKMANGIT;;ADANA -> CEYHAN -> CEYHAN-İLÇE MERKEZİ;;
